,path,scale,paper size,drawing number,drawing title,building number,building name,name,room_name,room_desc,room_area,desc_loc_lists,name_locs,area_locs,PNG_title
10,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A09/A10,Office ,18.7,"[{'y1': 1871, 'x1': 1778, 'y2': 1901, 'x2': 1882}]","{'y1': 1829, 'x1': 1779, 'y2': 1859, 'x2': 1935}","{'y1': 1914, 'x1': 1778, 'y2': 1944, 'x2': 1901}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
11,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A11/A12,Office ,16.2,"[{'y1': 1871, 'x1': 2198, 'y2': 1901, 'x2': 2302}]","{'y1': 1829, 'x1': 2199, 'y2': 1859, 'x2': 2354}","{'y1': 1914, 'x1': 2198, 'y2': 1944, 'x2': 2321}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
12,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A14,Office ,35.0,"[{'y1': 1871, 'x1': 2747, 'y2': 1901, 'x2': 2850}]","{'y1': 1829, 'x1': 2747, 'y2': 1858, 'x2': 2818}","{'y1': 1914, 'x1': 2747, 'y2': 1944, 'x2': 2872}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
13,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A16,Office ,25.2,"[{'y1': 1871, 'x1': 3594, 'y2': 1901, 'x2': 3697}]","{'y1': 1829, 'x1': 3594, 'y2': 1859, 'x2': 3665}","{'y1': 1914, 'x1': 3594, 'y2': 1944, 'x2': 3720}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
14,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A19,Dentist ,15.6,"[{'y1': 1871, 'x1': 4094, 'y2': 1901, 'x2': 4219}]","{'y1': 1829, 'x1': 4095, 'y2': 1859, 'x2': 4166}","{'y1': 1914, 'x1': 4094, 'y2': 1944, 'x2': 4217}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
15,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A23,Vacant ,15.3,"[{'y1': 2106, 'x1': 5297, 'y2': 2136, 'x2': 5424}]","{'y1': 2064, 'x1': 5300, 'y2': 2094, 'x2': 5371}","{'y1': 2152, 'x1': 5297, 'y2': 2182, 'x2': 5420}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
16,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A24,Waiting ,15.3,"[{'y1': 2143, 'x1': 4796, 'y2': 2181, 'x2': 4930}]","{'y1': 2101, 'x1': 4796, 'y2': 2130, 'x2': 4867}","{'y1': 2186, 'x1': 4796, 'y2': 2216, 'x2': 4919}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
17,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,CR2,Corridor ,15.8,"[{'y1': 2308, 'x1': 3659, 'y2': 2338, 'x2': 3806}]","{'y1': 2266, 'x1': 3659, 'y2': 2296, 'x2': 3737}","{'y1': 2351, 'x1': 3659, 'y2': 2381, 'x2': 3782}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
18,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,Sw2,Stairwell ,15.8,"[{'y1': 2308, 'x1': 4132, 'y2': 2338, 'x2': 4283}]","{'y1': 2266, 'x1': 4132, 'y2': 2296, 'x2': 4217}","{'y1': 2351, 'x1': 4132, 'y2': 2381, 'x2': 4255}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
19,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A05/A06,Office ,23.2,"[{'y1': 2549, 'x1': 1018, 'y2': 2580, 'x2': 1122}]","{'y1': 2507, 'x1': 1019, 'y2': 2537, 'x2': 1175}","{'y1': 2592, 'x1': 1018, 'y2': 2622, 'x2': 1145}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
20,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A38,Reception/Waitng ,64.1,"[{'y1': 2549, 'x1': 1773, 'y2': 2588, 'x2': 2093}]","{'y1': 2507, 'x1': 1773, 'y2': 2537, 'x2': 1844}","{'y1': 2592, 'x1': 1773, 'y2': 2622, 'x2': 1899}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
21,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A32,Cleaners ,3.7,"[{'y1': 2553, 'x1': 3406, 'y2': 2583, 'x2': 3568}]","{'y1': 2510, 'x1': 3407, 'y2': 2540, 'x2': 3477}","{'y1': 2595, 'x1': 3407, 'y2': 2626, 'x2': 3509}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
22,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A17,Entry ,5.5,"[{'y1': 2553, 'x1': 3675, 'y2': 2591, 'x2': 3768}]","{'y1': 2510, 'x1': 3676, 'y2': 2540, 'x2': 3747}","{'y1': 2595, 'x1': 3676, 'y2': 2625, 'x2': 3778}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
23,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A28,Corridor ,1.8,"[{'y1': 2562, 'x1': 4021, 'y2': 2592, 'x2': 4168}]","{'y1': 2519, 'x1': 4053, 'y2': 2549, 'x2': 4124}","{'y1': 2604, 'x1': 4055, 'y2': 2635, 'x2': 4155}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
24,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A15a,Store ,2.0,"[{'y1': 2601, 'x1': 2663, 'y2': 2631, 'x2': 2758}]","{'y1': 2558, 'x1': 2663, 'y2': 2588, 'x2': 2757}","{'y1': 2643, 'x1': 2663, 'y2': 2673, 'x2': 2732}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
25,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A29,WC ,5.2,"[{'y1': 2651, 'x1': 4269, 'y2': 2681, 'x2': 4334}]","{'y1': 2609, 'x1': 4269, 'y2': 2639, 'x2': 4340}","{'y1': 2694, 'x1': 4268, 'y2': 2724, 'x2': 4371}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
26,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A37,Vestibule ,2.0,"[{'y1': 2785, 'x1': 2548, 'y2': 2815, 'x2': 2715}]","{'y1': 2743, 'x1': 2548, 'y2': 2773, 'x2': 2619}","{'y1': 2828, 'x1': 2548, 'y2': 2858, 'x2': 2651}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
27,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A15,Photocopy/Kitchen ,23.1,"[{'y1': 2826, 'x1': 2862, 'y2': 2865, 'x2': 3200}]","{'y1': 2784, 'x1': 2863, 'y2': 2814, 'x2': 2934}","{'y1': 2869, 'x1': 2862, 'y2': 2899, 'x2': 2989}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
28,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A33,Store ,8.5,"[{'y1': 2870, 'x1': 3391, 'y2': 2900, 'x2': 3486}]","{'y1': 2828, 'x1': 3391, 'y2': 2858, 'x2': 3462}","{'y1': 2913, 'x1': 3391, 'y2': 2943, 'x2': 3494}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
29,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A31,WC ,7.6,"[{'y1': 2900, 'x1': 3683, 'y2': 2930, 'x2': 3749}]","{'y1': 2857, 'x1': 3683, 'y2': 2887, 'x2': 3748}","{'y1': 2942, 'x1': 3683, 'y2': 2973, 'x2': 3785}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
30,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A30,Office ,9.9,"[{'y1': 2965, 'x1': 4149, 'y2': 2996, 'x2': 4252}]","{'y1': 2923, 'x1': 4149, 'y2': 2953, 'x2': 4220}","{'y1': 3008, 'x1': 4149, 'y2': 3038, 'x2': 4251}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
31,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A36,Porch ,6.4,"[{'y1': 3078, 'x1': 2587, 'y2': 3108, 'x2': 2689}]","{'y1': 3036, 'x1': 2587, 'y2': 3066, 'x2': 2658}","{'y1': 3121, 'x1': 2587, 'y2': 3151, 'x2': 2690}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
32,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A26/A25,Garage ,26.6,"[{'y1': 3078, 'x1': 4866, 'y2': 3117, 'x2': 5000}]","{'y1': 3036, 'x1': 4866, 'y2': 3066, 'x2': 5022}","{'y1': 3121, 'x1': 4866, 'y2': 3151, 'x2': 4992}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
33,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A40,wc ,2.9,"[{'y1': 3147, 'x1': 2185, 'y2': 3177, 'x2': 2251}]","{'y1': 3105, 'x1': 2185, 'y2': 3135, 'x2': 2256}","{'y1': 3190, 'x1': 2185, 'y2': 3220, 'x2': 2288}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
34,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A39,WC ,2.9,"[{'y1': 3147, 'x1': 2321, 'y2': 3177, 'x2': 2387}]","{'y1': 3105, 'x1': 2321, 'y2': 3135, 'x2': 2392}","{'y1': 3190, 'x1': 2321, 'y2': 3220, 'x2': 2424}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
35,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A04,Office ,52.5,"[{'y1': 3309, 'x1': 713, 'y2': 3340, 'x2': 817}]","{'y1': 3267, 'x1': 713, 'y2': 3297, 'x2': 784}","{'y1': 3352, 'x1': 713, 'y2': 3382, 'x2': 839}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
36,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A02a,Kitchen ,5.1,"[{'y1': 3727, 'x1': 725, 'y2': 3756, 'x2': 857}]","{'y1': 3684, 'x1': 726, 'y2': 3714, 'x2': 819}","{'y1': 3769, 'x1': 726, 'y2': 3800, 'x2': 828}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
37,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A03,Store ,2.6,"[{'y1': 3777, 'x1': 386, 'y2': 3808, 'x2': 481}]","{'y1': 3735, 'x1': 386, 'y2': 3765, 'x2': 457}","{'y1': 3820, 'x1': 386, 'y2': 3850, 'x2': 489}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
38,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,BO6,Classroom ,40.7,"[{'y1': 1658, 'x1': 979, 'y2': 1689, 'x2': 1172}]","{'y1': 1616, 'x1': 980, 'y2': 1646, 'x2': 1048}","{'y1': 1701, 'x1': 980, 'y2': 1731, 'x2': 1107}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
39,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,,BOs Office ,20.6,"[{'y1': 1658, 'x1': 1739, 'y2': 1689, 'x2': 1843}, {'y1': 1616, 'x1': 1739, 'y2': 1646, 'x2': 1808}]",{},"{'y1': 1701, 'x1': 1739, 'y2': 1731, 'x2': 1866}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
40,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B12,Office ,18.8,"[{'y1': 1658, 'x1': 2287, 'y2': 1689, 'x2': 2391}]","{'y1': 1616, 'x1': 2287, 'y2': 1646, 'x2': 2355}","{'y1': 1701, 'x1': 2287, 'y2': 1731, 'x2': 2410}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
41,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B15,Classroom ,31.3,"[{'y1': 1658, 'x1': 2739, 'y2': 1689, 'x2': 2932}]","{'y1': 1616, 'x1': 2739, 'y2': 1646, 'x2': 2808}","{'y1': 1701, 'x1': 2740, 'y2': 1731, 'x2': 2866}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
42,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B17,Office ,23.6,"[{'y1': 1775, 'x1': 3307, 'y2': 1805, 'x2': 3411}]","{'y1': 1733, 'x1': 3307, 'y2': 1762, 'x2': 3375}","{'y1': 1818, 'x1': 3307, 'y2': 1848, 'x2': 3433}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
43,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B18,Meeting ,14.8,"[{'y1': 1767, 'x1': 3999, 'y2': 1805, 'x2': 4140}]","{'y1': 1725, 'x1': 3999, 'y2': 1755, 'x2': 4067}","{'y1': 1810, 'x1': 3999, 'y2': 1840, 'x2': 4122}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
44,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,CR3,Corridor ,58.2,"[{'y1': 2299, 'x1': 2352, 'y2': 2330, 'x2': 2499}]","{'y1': 2257, 'x1': 2352, 'y2': 2287, 'x2': 2431}","{'y1': 2342, 'x1': 2353, 'y2': 2372, 'x2': 2478}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
45,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,SW3,Stairwell ,4.4,"[{'y1': 2342, 'x1': 4236, 'y2': 2372, 'x2': 4387}]","{'y1': 2300, 'x1': 4236, 'y2': 2330, 'x2': 4321}","{'y1': 2384, 'x1': 4235, 'y2': 2414, 'x2': 4339}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
46,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,BO9,Office ,18.2,"[{'y1': 2493, 'x1': 1476, 'y2': 2523, 'x2': 1580}]","{'y1': 2451, 'x1': 1476, 'y2': 2481, 'x2': 1545}","{'y1': 2536, 'x1': 1476, 'y2': 2566, 'x2': 1599}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
47,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B13,Stairwell ,22.6,"[{'y1': 2472, 'x1': 2178, 'y2': 2503, 'x2': 2329}]","{'y1': 2430, 'x1': 2178, 'y2': 2460, 'x2': 2246}","{'y1': 2515, 'x1': 2178, 'y2': 2545, 'x2': 2304}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
48,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B26,Store ,4.8,"[{'y1': 2493, 'x1': 2967, 'y2': 2523, 'x2': 3062}]","{'y1': 2450, 'x1': 2967, 'y2': 2480, 'x2': 3035}","{'y1': 2535, 'x1': 2967, 'y2': 2566, 'x2': 3071}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
49,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B20,Bathroom ,3.5,"[{'y1': 2573, 'x1': 4245, 'y2': 2602, 'x2': 4418}]","{'y1': 2530, 'x1': 4245, 'y2': 2560, 'x2': 4313}","{'y1': 2615, 'x1': 4245, 'y2': 2646, 'x2': 4348}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
50,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B21,WC ,3.5,"[{'y1': 2725, 'x1': 4229, 'y2': 2755, 'x2': 4295}]","{'y1': 2683, 'x1': 4228, 'y2': 2712, 'x2': 4291}","{'y1': 2768, 'x1': 4229, 'y2': 2798, 'x2': 4332}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
