,path,scale,paper size,drawing number,drawing title,building number,building name,name,room_name,room_desc,room_area,PNG_title
10,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A09/A10,Office ,18.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
11,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A11/A12,Office ,16.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
12,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A14,Office ,35,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
13,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A16,Office ,25.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
14,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A19,Dentist ,15.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
15,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A23,Vacant ,15.3,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
16,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A24,Waiting ,15.3,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
17,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,CR2,Corridor ,15.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
18,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,Sw2,Stairwell ,15.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
19,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A05/A06,Office ,23.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
20,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A38,Reception/Waitng ,64.1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
21,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A32,Cleaners ,3.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
22,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A17,Entry ,5.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
23,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A28,Corridor ,1.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
24,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A15a,Store ,2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
25,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A29,WC ,5.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
26,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A37,Vestibule ,2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
27,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A15,Photocopy/Kitchen ,23.1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
28,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A33,Store ,8.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
29,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A31,WC ,7.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
30,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A30,Office ,9.9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
31,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A36,Porch ,6.4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
32,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A26/A25,Garage ,26.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
33,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A40,wc ,2.9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
34,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A39,WC ,2.9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
35,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A04,Office ,52.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
36,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A02a,Kitchen ,5.1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
37,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A03,Store ,2.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
38,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,BO6,Classroom ,40.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
39,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,,BOs Office ,20.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
40,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B12,Office ,18.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
41,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B15,Classroom ,31.3,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
42,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B17,Office ,23.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
43,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B18,Meeting ,14.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
44,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,CR3,Corridor ,58.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
45,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,SW3,Stairwell ,4.4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
46,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,BO9,Office ,18.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
47,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B13,Stairwell ,22.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
48,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B26,Store ,4.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
49,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B20,Bathroom ,3.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
50,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B21,WC ,3.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
51,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,BO4,Kitchen ,21.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
52,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B28,Store ,5.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
53,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B27,Bathroom ,9.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
54,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B25,Computer ,24.9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
55,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B22,Kitchen ,8.9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
56,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,Bi3a,Lounge ,18.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
57,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,BO2,Classroom ,31.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
58,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,B01,Male ,12.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
59,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png,0.01,A2,MC003_B Floor,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,,,435,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_2.png
60,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C06,Office ,45.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
61,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C12,Store ,1.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
62,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C04/C05,Kitchen ,20.1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
63,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,,Cog Store ,2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
64,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C10,Office ,19.1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
65,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C11,Office ,12.1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
66,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,,Corridor ,7.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
67,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,,Corridor ,10.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
68,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,,Corridor ,15.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
69,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,Sw4,Stairwell ,4.4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
70,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C03,Office ,18.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
71,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C15,Office ,13,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
72,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C14,WC ,10.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
73,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C07,wc ,15,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
74,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png,0.01,A2,MC003_C Floor,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,C01,Office ,40.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_3.png
75,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A05,Store Room ,2.3,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
76,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A07,Male ,14,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
77,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,,,1.1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
78,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A01,Store ,22.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
79,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A06,Brandrigg ,111,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
80,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A07/A012,Corridor ,14.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
81,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A099,Accessible ,3.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
82,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A11,Female ,13.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
83,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A61,Entrance ,4.9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
84,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A13,Office ,12.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
85,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A15,Office ,16,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
86,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A60,Study ,40.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
87,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png,0.01,A1,AP0O81_A_ Floor,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,A18,Porters ,6.7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Barker House Farm AP081_0.png
